ref,coverage,content
41,1.02%,"all_R_1GThNFb7Cn2w89F : I am very lucky to live where I does. All of my anxiety, fear and so on, is connected to my depression. And a general feeling of fuck, because of long periods with unemployment and inability to find something worthwhile. A do not worry about my safety ect. In regards to my gender(cis woman) or attraction(pan). I can at the most expect a ""what?"" From people that don't know what pan is. Other people are less privileged than me, but in general we have it good. I am obese, and once in a while a have to insist in the Healthcare system, because they often go to ""well it would get better if you lose weight"" but I get Healthcare. And most of it is free, so I have no economic problems with having to insist sometimes. The treatment for my depression is also basically free, I think i spend around 20 dollars a month on medication. So all in all, even though I probably score quite bad in most of this. I am very lucky to live where I do. And would be way worse of most other places."
42,0.69%,"all_R_1n0jKcCbzrPN4g5 : Pretty distant from the violence that happens in Longview that my coworkers have to deal with. I have two amazing best friends, my fiance whom I live with and a best friend that lives in the same state and they support me in every possible way. My life would be miserable without them because my family doesn't understand. I'm going to admit here that I'm starting to consider myself Agender but I don't know if I'd ever admit that to my family because my asexuality already makes me a joke. I have discussed Agender with my best friends though, more as a concept, but they're so open to talking about anything that I feel safe with them no matter what."
43,0.27%,"all_R_25SDnnbl0Kzdkun : Living in the middle of nowhere is weird, even though its a college town. All of my friends are queer, but none of us are from here, and people that are from here look down on us a lot. I do not feel safe or welcome in my community at large."
44,0.28%,all_R_25L1pYtsfxZiMC4 : My geographical location is both negative and extremely harmful to my emotional and mental wellbeing. The hate crimes and mindset against LGBTQIA+ individuals is a constant in my life. I am stressed and and depressed nearly constantly when out of my home
45,0.48%,"all_R_DHJEb9pE4FWnxO9 : I feel that there???s a lack of knowledge about LGBT+ community issues where I live. Gender and sexuality are rarely acknowledged by people I???m not close friends with already, and I???ve faced a good deal of harassment and discrimination, mostly at work, because of my gender here. Despite its reputation as an open, progressive city, I feel that a lot of discrimination happens out in the open here and nobody notices enough to do anything about it."
46,0.85%,"all_R_SICoju41jYsZE9b : I live in the south and it hasn???t exactly been easy. Though I currently live in a more open minded part of our city, I had to leave my old job because of harassment after I came out on Facebook. I wasn???t fired, but the harassment was poorly handled enough that I no longer felt like I could stay on. I was lucky enough to have something else lined up, but it???s still been difficult. If I didn???t live with a partner right now I would probably be homeless or in danger of being homeless. I was booted off of my mom???s insurance and although I desperately need mental health care (I have PTSD, GAD, and depression) I can???t afford it and access has been especially difficult with everything else going on. I don???t know what things are like elsewhere but it definitely doesn???t help to live in a southern state."
47,2.86%,"all_R_3qNJFXcpF4ypx4n : Please consider that some of the phrasing of the survey and the image used to present the survey (the map filled with flags and other images) are somewhat problematic and offensive. For a group studying minority status as an impact in mental health, both your phrasing of minority issues and mental health issues is concerning. The phrasing ""Mentally unwell"" and ""Emotional disabled"" were confusing and don't really describe anything in particular. Would a person with an emotional illness, like Bipolar Disorder, be considered ""mentally unwell"" AND ""emotionally disabled?"" BPD is a disability under the DSM V, but I imagine may would ""self-identify"" as ""mentally unwell."" It just wasn't clear to me. Another offensive question was the one about suicide attempts. It came out of nowhere, and is likely triggering for a number of participants/potential participants. There was no warning in the consent form before the survey to talk about those issues, and no questions about a history of self-harm, or other examples of ways mental illness presents itself physically (e.g. eating disorders). Additionally on the long form page about family/friends/co-workers and whether sexual orientation is visible, two or three of the options were off the page and not even clickable. So I wanted to put N/A for some of them and simply could not. Your survey also seemed to teeter between focusing on Sexual Orientation and/or Gender Identity as minorities, and Racial and/or Ethnic Identity. Those are two very large and complex areas of research on their own (as four, independent areas of research). I feel very strongly, as an academic myself completing research currently on Critical Race Theory, that you are not gaining anything of actual substance from the survey you've launched. Overall your language and imagery is questionable at best for a group of academics, and I'm disappointed. You may want to add some trigger warning(s) to the consent page. Also you may want to add to your consent page that this survey is not IRB Approved. If it were, you would have stated it. Now to answer this actual question: As a multiracial, multiethnic, Cis-Hetero woman, I feel location plays an overt role in my relationships and my access to resources. The ability to be as educated as I am is a privilege, and places me in a socio-economic class that also directly impacts the same. Living in Connecticut, there is an abundance of wealth and a higher standard of living than where I grew up in the South. I feel much safer here than in some of the urban areas I've lived in the past, and I feel racism, sexism, and homophobia are far less common here in New England than they were in the South. That isn't to say it doesn't all exist, because it does. It is just much less blatant in the North East than it is in the South."
48,0.86%,"all_R_20ZsRh8jYlOgPTx : I live in a very conservative area which can make it difficult to find places where I will be accepted. I had to leave a church because of that, found a new one after a few years and a lot of grief, I currently work at a progressive place that in theory accepts trans people but I???ve encountered an amount of transphobia from coworkers. I want to find another place to work but I???m just so worried about how they will deal with me being trans. Passing isn???t a thing for non-binary people so going stealth isn???t an option. If I ever want to be accepted for who I am I have to out myself. My parents love me but I know they don???t think what I???m doing is right. They???re conservative Christians. I???m thankful we have the relationship we do but it makes me sad that they don???t understand or accept me for who I am."
49,0.22%,"all_R_2QM6fP9JgWMa399 : I feel very safe being queer and non-binary in Portland, Oregon. As soon as I leave Portland it definitely feels less safe. I also am white and a therapist - both grant me immense privilege."
50,0.28%,"all_R_2dNpDs2EV5xhlts : I dont live in a place with easy or affordable access to LGBTQ healthcare or anything, so I havent been able to start medical transition yet or anything. I'm not out in a lot of places because of that because I worry about not passing and being unsafe"
51,0.39%,"all_R_yR3lQFWCsc2F6Nz : I feel like I live in a fairly liberal and safe area. Sometimes I do get nervous ???showing off??? being queer, neurodiverse, atheist but mostly feel okay being myself. There are some things I definitely do not feel safe or comfortable doing/wearing outside of the house for safety reasons (certain queer clothes, acting autistic in front of cops/authority figures)"
52,0.17%,all_R_2ffhPN4S3wuugvI : I live in an area with a large LGBT community and it helps me feel supported. At the same time many people who are older make me feel unsafe.
53 - 54,0.66%,all_R_6tVhN8MZMFwGKzL : I moved from a fairly liberal state to Arizona within the past year. Seeing the differences in how Minnesota is dealing with the COVID 19 epidemic in comparison to Arizona has really affected my mental health. I do not feel safe here but I am stuck here until I finish my PhD. I want to leave this place as soon as possible but this is my ancestral home and I feel bound to improving this place because it's where I belong. There is a lot of tension here. I do not feel as safe identifying as Bisexual. I do not feel as safe identifying as polyamorous. I definitely do not feel safe idenifying as Xicanx. I don't feel safe here.
55,0.21%,all_R_x4PFo4c47zwOPIJ : I live rurally and therefore do not have the stress and anxiety for daily safety some transwomen do. Also being married for over 20 years my wife is always there if any issue arises.
56,0.82%,"all_R_3iVG9N6MYTSEBib : The high degree of conformaty present in Utah also manages to create an environment in which counterculture groups provide meaningful touchstones for non-conforming persons. I have found that the SM community is quite dedicated and valued amongst its members. I have been largely isolated from the BDSM community in the months of Covid-19 precaution and that absence has negatively impacted my health and self worth. The prevailing religion is also a cultural force. When I worked for a Mormon organization, my outgroup status made me feel extremely devalued. It's hard to avoid that feeling in this state. I have a lot to say about how unsafe I feel in this state, how my childhood was fraught with rejection and sadness and how those thoughts persist. Thank you for doing this research."
57,0.80%,"all_R_3KCrbSlvavJ0o1o : the society is sexist and homophobic, very transphobic, the health care system is extremely bad and the government just became a dictatorship that used their power obtained under the guise of covid to make laws against trans people in the first couple of days I work for a big international organization so my situation is better than most people in this country. However I do not feel save in the current situation because I do not believe the government cares about its citizens in the slightest and because the health care system is so catastrophic (due to corruption based underfunding) that I am afraid to not leave the hospital alive should I get admitted. But I guess at least we all have health insurance as its still europe so thats a plus sorry Illinois"
58,0.41%,"all_R_2t36qEYTXr0izeZ : Living in Texas, even in San Antonio, isn't safe for the trans community. Last week, a transwoman was stabbed to death because ""god sent this guy"" to kill her. I live 5,000 miles away from my husband, one of my biggest sources of social support. I have some support here, but living away from my husband has a massive negative impact on my emotional well-being and overall stability."
59,0.40%,"all_R_2dTlczEjzzIDL1Q : Very few folks around here are anything but white, christian, and straight. Being a queer transwoman who semi-follows a non-abrahamic faith I don't fit in, at all. 95% of the time this is fine, the other 5% is where you get some bigotry shining out. I've never been physically attacked in this area, but I've certainly been treated as less than human due to being trans."
60,1.91%,"all_R_2eXBZZiMB0KLL6F : Im an FTM transgender who live in the less open minded side of israel. I rarely go out of home and stuck with no job for 2 years now. My mother is my emotional support and is the sole reason i havent killed myself yet. I do have a circle of friends who are like a family to me but they live far away(in the tlv region which is 3 hours away on publoc transport.) My health is bad because i have mental issues and born physical issues (i am facing with weak immune system severe allergies to common things and I have endometryosis, which is basically my female reproductive internal organ slowly killing me, at least thats how it feels), whenever i end up in ER *sometimes* doctors refuse to take me in because of my transgenderism. So whenever im ill i prefer not to face any unfamiliar doctors. Tbh i used to work in sales and was assulted, and even though i filed a charge no one did anything, Since than im kind of really scared of people. So even though israel is really accepting the gay/lesbian theres still a long way with transgenders that no one talks about. Since i mpved back with my parents to my old hometown after the assult no one hires me (worked in tlv previously), and lately i feel hopless when it comes to standing on my own. I have my friends and i have a band which i hold onto dearly. But thats it. I cant see myself getting a proper job bec ill always have to face strangrs. And im terrified. Its been 2 years and i cant face my fears yet.israel claim to be the 'wokest' country in the middle east but thats a huge bluff. The gov is fine but the people themself. Theres still the harsh middle eastern brutal mentality, that you cant escape . I often think that there might be a good place for people like me, i often dream of canada, but i know, thats just it. A dream. Im sure thats also illusion. And that theres no really safe space anywhere ."
61,0.11%,all_R_BQgFIziFbI9LycF : Was unable to transition until I moved to California. Being trans here feels safe.
62,0.10%,all_R_20uSb23ewqCxtER : I live in a quite safe area but can't go out because of restrictions
63,0.95%,"all_R_wOa1YKmNZsi5uIp : Job security is pretty minimal here which terrifies me. We've been trying to move, but everywhere is even more expensive than what we're paying now and we're struggling to save up as almost nothing is left after bills are paid. Crime rate is pretty low and I rarely feel targeted racially as the population mostly seems Hispanic and white, and I get assumed to be Hispanic quite often. Disability access is so-so which is discouraging because there are a lot of places I can't go if I need my chair that day. Transportation is miserable. 100% need a car unless going on the Metra (train), but then you would need a car anywhere except Chicago. Suburbia here is really isolating. I don't have local friends because I'm unable to go places to meet people or hang out with anyone I do meet. My mental health has gotten way worse, and there are very few resources I am able to utilize either due to transportation or cost."
64,0.69%,"all_R_3oU7Q5HySwZzMN2 : I live in a predominantly conservative town/county, and I am a progressive, leftist individual. While mental health is preached about in government, realistically there are very few resources accessible and appropriate for me, and ever fewer available that would feel appropriate for minorities. I am relatively safe, compared to other countries - and definitely safe compared to minorities within this area. There is healthcare easily accessible (normally, right now during the pandemic things are limited) While altogether I am safe, and able to access some resources, this is an area where mental health issues are viewed as nonsense by the general public."
65,0.24%,"all_R_21B1fhzbngAlgky : I moved to my location specifically to feel safer in living as an out, non-stealth trans person. I have not regretted my decision at all and it has significantly improved my mental health and feeling of safety."
66,0.52%,"all_R_3ekPkHBnZqWBnzi : I believe my location does impact me; I have a plethora of food options, banking services, and medical professionals located very close by. It is a high-traffic neighbourhood with both residential and professional buildings, and a school, so it is active on both weekdays and weekends. Most importantly, I live on the same block as a subway station, so I have freedom of mobility (when the outside is safe). This all means that I have access to food and can see my friends without much issue."
67 - 68,0.57%,all_R_25FsXA8W6Wym7QW : I live in a mostly republican neighborhood. most times people try to respect my pronouns and identity but I've had people tell me straight to my face they could never call me a man because I dont look like one. I also have been shoulder checked for walking around the town fair and looking the way I do. For the most part I feel safe in my own home but my partner worries about me having pride stickers on my car or on display on our porch. Recently though things have gotten easier because the facemasks hide my more effeminate features.
69,0.21%,"all_R_10vCj4X6RfEOK2P : Philly is a good place for queer people generally (gayborhood, city programs have options for minority gender identities, outfest and pride both openly celebrated) but I'm not safe here."
70,0.72%,"all_R_3qJpXiYh2KaKGKo : I used to live in the American South (NC &amp; VA), and was deeply impoverished. Even with a welcoming, close friendship group, life was very hard. I have since moved to rural northern Illinois. While it's not perfect, my life is much better for having the political support of a blue state. Things like unions, easier employment, and more money overall have directly helped my safety and security. I also experience a lot more places of business and state agencies that have sexuality and gender identity as protected classes written into their foundational documents, and it shows. Even with something as simple as getting a haircut (present pandemic excluded) is so much better now."
71,0.17%,"all_R_2ZE2ZGZSCdCtjBl : Living in the PDX area certainly makes it easier to be safely and openly queer, but the current situation with Covid has rendered that irrelevant."
72,0.33%,"all_R_3P6s0NGbzrKHdZI : I feel very safe in my location, and I have many great relationships. I feel that there are usually opportunities here. Some of my responses were directly linked to the COVID 19 situation. For example, I feel there???s nothing to look forward to and I am unemployed specifically because of this situation."
73,0.42%,"all_R_qWQXLdq4SUozeX7 : I live in a basement apartment in a relatively affluent area. Crime is low, pollution is low, my housing is stable as are my finances. I am extremely close with my family, but my parents and sister live about 2 hours away and I cannot see them as much as I would like. My core group of friends also live about 2 hours away now, so I also have a difficult time not seeing them as well."
74,0.16%,all_R_1rqWB1eadxqRS6O : I live in a very conservative area. Walking down thebstreet holding hands with a guy has gotten me assaulted on more than one occasion.
75,0.19%,"all_R_6xwByMsgODSPjbj : Being in the Midwest, there are very few resources in my area for LGBTQ+ people, and I have experienced homophobia in the form of online harassment at my high school."
76,0.28%,all_R_sgQy706uO4kA6SB : I live in south Dallas. Unsafe area to be. Lots of grown men praying on young girls. It???s been a very uncomfortable thing for me. I can???t take public transportation daily due to the harassment I face so it lowers my job opportunities (pre-corona)
77,0.41%,"all_R_27BiIY0fNbtfLK6 : Where I live is terrible for transgendered people. I live in small town east texas and I'm constantly worried or fearing for myself. My spouse is very supportive of me as she has been here before the transition. My family is very welcoming and okay with it. But strangers here, not so much. I'm scared to let my b9obs show or that I'll talk to high and be disregarded as a man."
78,0.44%,"all_R_YbllHJSCtySI2qt : My location is safe to an extent but Nigeria can never be totally safe so I take extra measures by making sure the gates are locked and I'm always alert Health wise , my location is free from disease to an extent , last time I recorded a case of illness on my path was five years ago As we know , Nigerians live a communal life so relationship in my location are more strong and healthy than weak and toxic"
79,0.12%,"all_R_3JaTEx1WZBxLmz4 : The environment where I live gives me security, but relationships are not easy to enter into"
80 - 81,0.71%,"all_R_1fdP92YYd4NfRSg : Place of residence: just moved, gives me warmth and security, peace. I enjoy that we have a big gate to safety and a garden where the dog can play. Due to the size and number of rooms, my partner is almost only in his room. It makes me feel alone. We moved further away from my mother, I miss her. Spatially, it&amp;#39;s great here and much quieter than in the old apartment. But I miss the proximity to the Elbe. Identity: sometimes I feel too much like a housewife who is only there for the Lord. Has given up on himself and, in addition to studying, has to run the household and take responsibility for the dog, since the man goes to work and is therefore completely busy."
82,0.46%,"all_R_1pol1bu7P8frJVz : &amp;#39;-I feel relatively safe in my part of town, but less in others -The size is still bearable, I couldn&amp;#39;t handle a bigger city psychologically, but it is so big that it is possible to make new acquaintances and at the same time meet acquaintances on the street -by the sea and the size, which allows it to quickly leave the city and drive into nature, it is pleasant to live here -the climate is very beneficial to me -"
83 - 84,0.17%,"all_R_28AMKhKhj86g7UF : Safe, calm, undisturbed, nice neighborhood, you help each other, security, new and exciting, freshly moved, joy, togetherness, sometimes arguments"
85,0.44%,"all_R_9zzxD9sMvjg5vA5 : I grew up in a conservative village, which I specified in the geographical question. I am currently there with my parents. I left home 18 months ago and moved to WÅrzburg. As a young person I feel freer and more comfortable because of the many offers. I&amp;#39;ve often felt cramped in the country. Now it&amp;#39;s okay if I keep coming back to visit. In WÅrzburg I feel safe and can go anywhere on my own."
86,0.16%,"all_R_3E9ZuHl8pRulNsd : Good infrastructural connections, close to friends and family, short commute to work, short way to university, safe area, I feel good."
87,0.35%,"all_R_1JUUwcKlaH7Dml2 : Since I live in a small, almost isolated village, I feel safe there. My relationships are more likely to have a negative impact, as I am difficult to reach by public transport and cannot stay in the city for long in the evenings because the trains don&amp;#39;t travel that long. My health is not affected by where I live."
88,0.58%,"all_R_3ixVxZMb4Z8uWi7 : Feel safe because of human closeness. Thanks to the proximity to the city center, friends can be reached quickly. Quick connection to ? ? PNV (outside world), quickly in parks or forests or at the lake for relaxation. A healthy lifestyle is absolutely possible in my current life situation. Proximity to the university makes the place of residence more attractive and thus increases the quality of life. I feel in my circle of friends with my sexual orientation and my opinions on life and love to 99% in good hands and for the most part supported."
89 - 90,0.54%,"all_R_ZesRPmVb3t2rGVj : I am lucky to have been born in such a privileged and safe country. I have not yet experienced any discrimination because of my identity where I live, but rather encouragement and support. Luckily, I never had to hide or pretend, I was able to live it out openly, even though I live in a very conservatively governed state, where same-sex marriages or homosexuality etc. are viewed rather suspiciously. Still, I am not punished for it, as in many other countries, and I am allowed to marry. That gives me security."
91,0.19%,all_R_wXmIbXgJWgoWKkN : My place of residence influences me positively. I feel a lot safer than in the city. The nature and the silence contribute to the general well-being and health.
92 - 94,0.64%,"all_R_zUO6Q2Gixtxt0M9 : My place of residence has become a home for me and a place where I feel safe. Definitely during the day, at night I sometimes feel a little uncomfortable there. Especially when people come towards me or even run behind me. But I think that&amp;#39;s more because I&amp;#39;m traveling alone as a woman than at my place of residence. There are areas where I feel even more vulnerable. My sexuality worries me because on bad days it feels like it makes me even more vulnerable. And although I have absolutely no influence on it and do not want to limit myself, but often still do it through the opinions of others."
95,0.60%,all_R_1FHr3LxgU3RLv21 : For the most part my location is safe. its safe yet some crimes do occur but not sever crimes.
,,
,,all_R_Tw8VWrKWcmuyDUR : My location can be considered safe. My location has no significance in my health or relationships.
,,
,,"all_R_1gFNkjdK5k8CYn8 : I live in a very dangerous place. I can get shot at in broad daylight. As a female, I have to be always accompanied. I find it best that I go to my friends instead of them come to me in order to protect their safety."
,,
,,"all_R_1JKthQMue3HYf8a : My location is safe, and allows me to be ablee to experience healthy thi"
96,0.22%,s to keep myself healthy
,,
,,all_R_1nNuLnoWE0n4SGt : I live in a pretty safe neighborhood. I can safely walk alone during the day and night but I choose not to.
,,
,,all_R_1nUEfNP0bnj9Ef4 : I'm in the central valley of
97,0.83%,"alifornia, which people aren't too fond of. I love the Central Valley. I think it's a beautiful place and there can be so much change in terms of the attitudes of the people. Small cities make me feel safe."
,,
,,"all_R_31c7DE09JgZc7Ey : I personally think my geographic location is not the type of city I would go out for a run alone especially, being a young female."
,,
,,"all_R_1oIpCD1WPpSOjkv : My location is safe, it is a healthy community, and very nice people. I am able to integrate myself into society because there are many resources for the low income families here in the Stanislaus County. There is plenty of affordable foods from local farms and stores. There is emergency services at all times. I feel safe and feel that my city and surrounding areas are doing quite well."
,,
,,all_R_vDNrgtUTKIJvcop : I live i
98,0.30%,"a lower income neighborhood where there's gangs, drugs and alcohol. It's uneasy to live here knowing that anything can happen to anyone at any minute. I can't go out for a run around, I can't stay out too late just in case there's a shooting or car races. It's very unsettling."
,,
,,all_R_2SDjgrbBHm2hUP6
99,0.20%,": My neighborhood is over-policed, I live and is mostly African American people and Hispanic/Latino people."
,,
,,all_R_32QsfgoCccZ95e1 : My location impacts my safety because it is a small town and not a
100,0.19%,g city.
,,
,,all_R_ezjB5BVBbbBaf9D : I live not too close to my friends nor family. There is a health center about less than half a mile away. There are small convenience stores around. I fe
101,0.27%,"pretty safe in my location. In a neighborhood close to mine, there are occasionally police officers driving by."
,,
,,"all_R_Wp1oMA6GiBeMMil : Before my location affected my safety since I lived in a ghetto city, but after moving I felt relief."
,,
,,all_R_2U4qEWc2zaPOVS6 : I
102,0.29%,"fortunate enough to live in a safe, healthy environment (atleast comparatively) where mental health is not necessarily a serious issue. But I am aware that I am privileged and this is not the case in some, if not most other parts of the world."
,,
,,all_R_2S69rM3pz1Mot6N : Where I am living
103,0.45%,w I felt pretty safe to live in.
,,
,,"all_R_3ewydwmpjXANdxH : My location can be very dangerous for some individuals. My areas population is majority republicans, and for some it is very hard to fit in. Especially for me, I fear being myself in front of random people in fear of what people may say or do."
,,
,,"all_R_8303L0vMoH3whdT : It can be scary at times, don't know majority of the people that live around me. Sometimes it makes me feel safe to kn"
104,0.36%,that most of my neighbors are also students.
,,
,,all_R_2cBhOXyRzvjubbR : My location is not the safest place in the world but as of right now its been calm due to the pandemic.
,,
,,"all_R_1f9JJKy59CdhCWy : Living in a small town/city has helped me be more open and explore more places. This has caused me to make more friends, established relationships with"
105,0.25%,estaurant workers and neighbors. I feel safer taking a walk around my neighborhood and even taking public transportation to places like the doctor.
,,
,,all_R_74At7ZaMERfQKxb : I feel safe in my house in Merced.
,,
,,all_R_1E0823AUilho9dw : Living in a d
106 - 107,0.08%,"gerous community, I have witnessed and experienced crime and injustices that have"
108,0.09%,curred in this location. There have been several times when I do not feel safe walking down
109,0.33%,he street.
,,
,,"all_R_3LZMEonhxsKvYzN : I have lived in one of the most dangerous cities in California, it has not stopped me from pursuing my dreams and going to college"
,,
,,all_R_3PB93Pi5r52hFrA : I believe my location makes it easier to feel welcome. My location is not super safe but it is not a bad place.
,,
,,all_R_Wwa3Htm9EC
110,1.27%,pId : I live in a safe and quite neighborhood.
,,
,,"all_R_3rV7Px54mlyWK7x : My location includes a very safe, friendly community where everyone is friendly and helps each other out."
,,
,,all_R_2rHJTXHfX565bGE : I live in a pretty safe locations.
,,
,,all_R_27P5Vl6EzOm9WmF : My geographic location doesn't tend to be the safest but nothing has ever happened to me. I feel safe I have close friends and family near me almost at all times.
,,
,,all_R_3Mgw4ad5tvMQ5QO : I don't think my location affects my health or safety if anything it does affect my relationship with my partner since he is away on active duty but not with my family since I am living with them.
,,
,,"all_R_3I51miGkC5eiHaV : My location impacts my allergies. Since I am living in the Central Valley, my allergies tend to flare up due to the high pollen count. Luckily, I do have access to the health care centers that are not too far from my home, where I am able to receive medication to help it. The neighborhood I currently live in is in, what other people I know refer to as, the safe side of Merced. Therefore, I generally feel safe, especially when going out to skateboard or walk."
,,
,,all_R_2cjUeOj00AckKz6 : I live in a safe area and like where I live
,,
,,all_R_33g4RcoV7jlcbTe : I have
111,0.17%,LOT of privilege living where I live. It is a safe neighborhood.
,,
,,all_R_AuKUQZyXdC9C5RD : My situation is unique in a few eays. I am privileged not to have to worry a
112,0.20%,"ut housing, and I live in a safe area, so even though I have very little money, I feel more secure than most people in my financial situation."
,,
,,"all_R_22GoFtvBigb05aj : my girlfriend, being a t"
113,0.24%,ns woman is more at risk. I feel most at risk from attack when with a partner or vulnerable friends
,,
,,all_R_2rjali6znLKa9IA : I live in a very racially divided area that isn't very accepting despite being fairly liberal. Since coming out I
114,0.32%,"e experienced much more discrimination than I expected I would, and this has had significant impacts on my mental health and, at times, safety. I do know that I am somewhat lucky to live where I do because accessing support resources is relatively easy, especially given my stable financial situation."
,,
,,all_R_1laiXJ
115,0.40%,"IBAThje : Living in Utah means that my contact with queer peers or queer accepting peers is limited, as I???m barely tolerated. Often I reach out to different people across the world for help too, but even that has its limits. I definitely feel safe here, but not wanted. It???s a weird paradox in that way"
,,
,,"all_R_29ph7etxLTn2MTe : I live in a safe, mostly residential neighborhood. It is"
